CLASS	|	1	2	3	4	5	|	1	2	3	4	5	|	1	2	3	4	5	|	1	2	3	4	5	|	1	2	3	4	5	|	1	2	3	4	5	|
CLS2I	|	SJB0019	SJB0019	SJB004	SJB009	SJB009	|	SJB0011	SJB0011	SJB002	SJB002	SJB0012	|	SJB0010	SJB0010	SJB0020	SJB0020	SJB004	|	SJB004	SJB0019	SJB0018	SJB0018	SJB001	|	SJB001	SJB008	SJB008	SJB0010	SJB0010	|	SJB001	SJB001	SJB0020	SJB002	SJB009	|
CLS3A	|	SJB0015	SJB0011	SJB0011	SJB0014	SJB0014	|	SJB0012	SJB0013	SJB0013	SJB0016	SJB004	|	SJB0013	SJB002	SJB001	SJB001	SJB009	|	SJB0014	SJB002	SJB002	SJB0016	SJB0016	|	SJB004	SJB004	SJB009	SJB009	SJB0017	|	SJB003	SJB001	SJB0017	SJB003	SJB001	|
CLS3B	|	SJB001	SJB001	SJB0018	SJB0011	SJB0011	|	SJB002	SJB0020	SJB0020	SJB0019	SJB0019	|	SJB009	SJB009	SJB004	SJB004	SJB0018	|	SJB002	SJB002	SJB001	SJB001	SJB009	|	SJB004	SJB0010	SJB0010	SJB0019	SJB008	|	SJB008	SJB0012	SJB0010	SJB008	SJB008	|
CLS3C	|	SJB0013	SJB0013	SJB003	SJB003	SJB0011	|	SJB0015	SJB0017	SJB0017	SJB0013	SJB001	|	SJB001	SJB002	SJB002	SJB009	SJB009	|	SJB004	SJB004	SJB0012	SJB001	SJB001	|	SJB002	SJB0011	SJB009	SJB0014	SJB0014	|	SJB0016	SJB0016	SJB004	SJB0014	SJB0016	|
CLS3D	|	SJB001	SJB001	SJB0018	SJB0018	SJB0013	|	SJB0013	SJB009	SJB009	SJB0010	SJB0010	|	SJB0021	SJB0021	SJB0011	SJB0011	SJB001	|	SJB001	SJB0012	SJB0013	SJB0010	SJB002	|	SJB004	SJB004	SJB002	SJB002	SJB0019	|	SJB009	SJB004	SJB0019	SJB0022	SJB0022	|
CLS3E	|	SJB0019	SJB0019	SJB004	SJB004	SJB009	|	SJB0011	SJB0011	SJB001	SJB001	SJB0018	|	SJB0018	SJB0019	SJB0020	SJB0020	SJB009	|	SJB0010	SJB0010	SJB002	SJB001	SJB0012	|	SJB004	SJB0020	SJB008	SJB008	SJB002	|	SJB001	SJB0010	SJB002	SJB009	SJB0010	|
CLS3F	|	SJB004	SJB004	SJB0020	SJB0018	SJB008	|	SJB0012	SJB0019	SJB0019	SJB002	SJB009	|	SJB009	SJB004	SJB001	SJB001	SJB0019	|	SJB002	SJB002	SJB0010	SJB0010	SJB008	|	SJB008	SJB0011	SJB0011	SJB0020	SJB008	|	SJB001	SJB001	SJB0010	SJB0018	SJB009	|
CLS3G	|	SJB0019	SJB0019	SJB0013	SJB0013	SJB004	|	SJB009	SJB009	SJB0011	SJB0011	SJB0018	|	SJB0018	SJB001	SJB001	SJB0012	SJB002	|	SJB0022	SJB0022	SJB0010	SJB0010	SJB002	|	SJB002	SJB0021	SJB0021	SJB004	SJB004	|	SJB0013	SJB001	SJB0010	SJB009	SJB001	|
CLS3H	|	SJB0020	SJB0020	SJB0010	SJB0018	SJB0018	|	SJB001	SJB0012	SJB0019	SJB008	SJB008	|	SJB001	SJB001	SJB0011	SJB0011	SJB0019	|	SJB0019	SJB0010	SJB0010	SJB002	SJB009	|	SJB009	SJB0010	SJB0010	SJB004	SJB004	|	SJB002	SJB002	SJB004	SJB009	SJB001	|
CLS4A	|	SJB0014	SJB0014	SJB0015	SJB003	SJB003	|	SJB002	SJB002	SJB001	SJB001	SJB0017	|	SJB0013	SJB0013	SJB0015	SJB009	SJB009	|	SJB002	SJB001	SJB001	SJB0012	SJB004	|	SJB004	SJB0011	SJB0011	SJB0017	SJB004	|	SJB009	SJB0014	SJB0016	SJB0016	SJB0013	|
CLS4B	|	SJB001	SJB001	SJB0019	SJB008	SJB008	|	SJB0018	SJB0018	SJB002	SJB002	SJB0011	|	SJB001	SJB001	SJB0010	SJB0010	SJB004	|	SJB008	SJB0011	SJB0010	SJB0010	SJB004	|	SJB0019	SJB0019	SJB0012	SJB008	SJB002	|	SJB0010	SJB0010	SJB0020	SJB0020	SJB004	|
CLS4C	|	SJB0014	SJB0014	SJB009	SJB009	SJB0015	|	SJB0014	SJB0016	SJB0016	SJB0015	SJB0017	|	SJB009	SJB0012	SJB0013	SJB0013	SJB003	|	SJB0011	SJB0013	SJB004	SJB004	SJB001	|	SJB001	SJB0017	SJB003	SJB0011	SJB004	|	SJB002	SJB002	SJB001	SJB001	SJB002	|
CLS4D	|	SJB0021	SJB0021	SJB002	SJB002	SJB0018	|	SJB0018	SJB0010	SJB0010	SJB009	SJB0013	|	SJB0019	SJB0019	SJB0012	SJB001	SJB004	|	SJB004	SJB002	SJB0010	SJB0013	SJB001	|	SJB001	SJB0013	SJB004	SJB0022	SJB0022	|	SJB001	SJB009	SJB0011	SJB0011	SJB009	|
CLS4E	|	SJB0019	SJB0019	SJB009	SJB009	SJB0010	|	SJB0010	SJB002	SJB0012	SJB004	SJB004	|	SJB0010	SJB0011	SJB0011	SJB002	SJB001	|	SJB001	SJB0018	SJB0018	SJB009	SJB0010	|	SJB0010	SJB008	SJB002	SJB001	SJB001	|	SJB0019	SJB0020	SJB004	SJB008	SJB0020	|
CLS4F	|	SJB0010	SJB0010	SJB008	SJB008	SJB0011	|	SJB0011	SJB0018	SJB0018	SJB004	SJB004	|	SJB0020	SJB0020	SJB0019	SJB001	SJB001	|	SJB008	SJB008	SJB0019	SJB0019	SJB001	|	SJB002	SJB0010	SJB001	SJB002	SJB0012	|	SJB0010	SJB002	SJB004	SJB0010	SJB0010	|
CLS4G	|	SJB004	SJB0010	SJB0019	SJB0019	SJB001	|	SJB001	SJB002	SJB0010	SJB0018	SJB0011	|	SJB0011	SJB0020	SJB0020	SJB004	SJB004	|	SJB002	SJB0018	SJB009	SJB009	SJB0020	|	SJB0010	SJB009	SJB0019	SJB0012	SJB002	|	SJB0010	SJB0010	SJB001	SJB001	SJB0010	|
CLS4H	|	SJB004	SJB004	SJB0014	SJB0014	SJB009	|	SJB009	SJB0016	SJB0012	SJB0014	SJB002	|	SJB002	SJB009	SJB001	SJB0016	SJB0011	|	SJB0013	SJB003	SJB003	SJB001	SJB0011	|	SJB0013	SJB001	SJB001	SJB0017	SJB0017	|	SJB0013	SJB004	SJB002	SJB0015	SJB0015	|
