CLASS	|	1	2	3	4	5	|	1	2	3	4	5	|	1	2	3	4	5	|	1	2	3	4	5	|	1	2	3	4	5	|	1	2	3	4	5	|
THC0040	|	CLS2E	CLS2E	CLS3E	CLS3E	CLS5D	|	CLS1F	CLS1F	#####	CLS4E	CLS4E	|	#####	#####	CLS2E	CLS2E	#####	|	CLS5D	CLS2E	CLS1G	CLS1G	#####	|	CLS3E	CLS1F	CLS1F	CLS5D	#####	|	#####	#####	CLS4E	CLS2E	#####	|
THC0041	|	#####	#####	CLS4F	CLS4F	CLS3F	|	#####	#####	CLS2F	CLS1G	CLS1G	|	CLS2E	CLS1H	CLS1H	#####	#####	|	CLS4F	CLS4F	CLS2F	#####	CLS3F	|	CLS3F	CLS4E	CLS3E	CLS3E	CLS3F	|	CLS2G	CLS2E	#####	CLS4E	CLS2G	|
THC0042	|	CLS1G	CLS1G	#####	#####	#####	|	#####	CLS4E	CLS1G	CLS3F	#####	|	#####	#####	#####	CLS4E	#####	|	CLS3F	CLS3F	CLS3E	CLS2F	CLS2F	|	CLS4F	CLS5D	CLS4E	CLS4F	CLS3E	|	CLS2F	CLS4F	CLS3E	CLS5D	CLS5D	|
THC0043	|	#####	#####	#####	#####	#####	|	#####	CLS5D	CLS3E	CLS3E	CLS3E	|	CLS3E	CLS5D	CLS5D	CLS5D	CLS4E	|	CLS4E	CLS4E	CLS4E	CLS3E	CLS1G	|	CLS1G	#####	CLS5D	CLS4E	CLS4E	|	CLS3E	#####	CLS5D	CLS1G	CLS1G	|
THC0044	|	CLS5D	CLS5D	CLS4E	CLS4E	CLS3E	|	#####	#####	#####	#####	CLS3F	|	CLS3F	#####	CLS1G	CLS1G	CLS3E	|	CLS2F	CLS2F	CLS5E	CLS4E	#####	|	#####	CLS5E	CLS1G	CLS2F	#####	|	#####	CLS5D	CLS5E	CLS3E	CLS3F	|
THC0045	|	CLS3E	CLS3E	CLS3F	CLS2F	CLS2F	|	CLS5D	CLS3F	CLS3F	#####	CLS5D	|	CLS5D	CLS3E	CLS3E	CLS3E	CLS3F	|	#####	#####	CLS5D	CLS5D	#####	|	#####	CLS3E	#####	CLS3F	CLS5D	|	#####	CLS1G	CLS1G	#####	#####	|
THC0046	|	#####	#####	CLS5D	CLS5D	#####	|	CLS2F	CLS2F	#####	CLS5D	CLS2G	|	CLS1G	CLS1G	CLS2G	#####	CLS5D	|	CLS3E	CLS3E	CLS3F	CLS3F	CLS1H	|	CLS5D	#####	#####	#####	#####	|	CLS5D	CLS3E	CLS3F	CLS1H	CLS3E	|
THC0047	|	CLS2F	CLS2F	#####	CLS3F	CLS1G	|	CLS1G	CLS4F	CLS4F	CLS2F	CLS2F	|	CLS2F	CLS2F	CLS3F	CLS3F	CLS1G	|	#####	#####	#####	#####	#####	|	#####	CLS1G	CLS2F	CLS1G	CLS2F	|	CLS3F	CLS3F	CLS2F	CLS3F	#####	|
THC0048	|	CLS3F	CLS3F	CLS2F	CLS1H	CLS1H	|	#####	#####	#####	CLS4F	CLS4F	|	#####	CLS3F	#####	CLS2F	CLS2F	|	CLS1G	CLS1G	#####	CLS5E	CLS5E	|	CLS2F	CLS2F	#####	#####	CLS1G	|	CLS1G	CLS2F	CLS4F	CLS5E	#####	|
THC0049	|	CLS1H	CLS1H	#####	#####	#####	|	CLS2G	CLS2G	CLS5E	CLS5E	CLS1H	|	CLS1H	CLS5E	CLS5E	CLS4F	CLS4F	|	CLS5E	#####	#####	#####	CLS4F	|	CLS1H	CLS1H	CLS4F	CLS1H	CLS1H	|	CLS5E	#####	#####	#####	CLS1H	|
THC005	|	CLS3A	#####	#####	#####	#####	|	CLS5H	CLS5H	CLS2B	CLS2B	#####	|	#####	CLS5H	#####	CLS2B	CLS2A	|	CLS1C	CLS1C	CLS1B	CLS1B	CLS1A	|	CLS1A	#####	CLS1D	CLS1D	CLS2A	|	CLS1C	CLS1B	CLS2A	CLS1A	CLS1D	|
THC0050	|	CLS4F	CLS4F	#####	CLS5E	CLS5E	|	#####	#####	#####	CLS2H	CLS2H	|	CLS5E	CLS1I	CLS1I	CLS5E	CLS5E	|	CLS5B	CLS5B	CLS3G	CLS3G	#####	|	CLS5B	CLS4F	#####	#####	CLS5E	|	CLS4F	#####	CLS3G	CLS4F	CLS4F	|
THC0051	|	#####	CLS5C	CLS5C	#####	CLS4F	|	CLS4F	#####	CLS3G	CLS3G	#####	|	#####	#####	#####	CLS1H	CLS1H	|	CLS1I	CLS1I	#####	CLS5B	CLS5B	|	#####	#####	#####	CLS2G	CLS2G	|	#####	CLS5E	CLS2H	CLS2H	CLS5E	|
THC0052	|	CLS3G	CLS3G	CLS5E	CLS5C	CLS2G	|	CLS1H	CLS1H	#####	CLS5B	CLS5B	|	CLS4F	CLS4F	CLS4F	CLS2G	#####	|	CLS5C	CLS5E	CLS4F	CLS4F	#####	|	#####	#####	CLS5E	CLS5E	CLS1I	|	#####	#####	#####	#####	CLS1I	|
THC0053	|	CLS5E	CLS5E	#####	#####	#####	|	CLS5E	CLS5E	#####	#####	#####	|	CLS2H	CLS2H	#####	CLS1I	CLS1I	|	#####	#####	#####	#####	#####	|	CLS5E	CLS3G	CLS3G	CLS5B	CLS5B	|	#####	#####	#####	#####	#####	|
THC0054	|	#####	#####	CLS3G	CLS3G	CLS5B	|	CLS5B	#####	CLS5C	CLS5C	#####	|	CLS5B	CLS5B	#####	#####	CLS3G	|	CLS1H	CLS1H	CLS2G	CLS2G	CLS3G	|	CLS3G	#####	CLS1H	#####	#####	|	CLS3G	CLS2G	CLS5B	CLS5B	CLS5C	|
THC0055	|	CLS5B	#####	#####	#####	CLS3G	|	CLS1I	CLS1I	CLS1H	CLS1H	#####	|	CLS2G	CLS2G	CLS5B	CLS5B	CLS5C	|	#####	#####	CLS5C	#####	#####	|	CLS5C	CLS2G	CLS2G	CLS3G	CLS3G	|	CLS1H	CLS1H	CLS1I	CLS1I	#####	|
THC0056	|	CLS5C	#####	#####	#####	#####	|	CLS3G	CLS3G	CLS2G	CLS2G	CLS5C	|	#####	#####	CLS5C	CLS5C	#####	|	CLS3G	CLS3G	CLS1H	CLS1H	#####	|	CLS2G	CLS5B	CLS5B	CLS5C	CLS5C	|	CLS5B	CLS5B	CLS1H	CLS3G	CLS5B	|
THC0057	|	CLS2G	CLS2G	CLS5B	CLS5B	#####	|	#####	CLS5B	CLS5B	#####	CLS3G	|	CLS3G	CLS3G	CLS3G	#####	CLS5B	|	CLS2G	CLS2G	CLS5B	#####	CLS2G	|	#####	CLS5C	#####	#####	#####	|	CLS5C	CLS3G	CLS2G	CLS2G	CLS3G	|
THC0058	|	#####	#####	CLS2G	CLS2G	CLS1I	|	#####	#####	#####	#####	#####	|	#####	#####	#####	#####	#####	|	#####	#####	#####	CLS2H	CLS2H	|	CLS2H	CLS2H	#####	CLS1I	#####	|	CLS2H	CLS2H	#####	#####	#####	|
THC0059	|	CLS2H	CLS2H	CLS1I	CLS1I	CLS2H	|	CLS2H	#####	CLS1I	CLS1I	#####	|	#####	#####	CLS2H	CLS2H	#####	|	#####	CLS2H	CLS1I	CLS1I	CLS5C	|	CLS1I	CLS1I	CLS5C	CLS2H	#####	|	#####	CLS1I	CLS5C	CLS5C	CLS2H	|
THC006	|	#####	#####	CLS5F	CLS5F	CLS5H	|	CLS2A	CLS2A	#####	CLS3H	CLS3H	|	#####	#####	#####	CLS1B	CLS1B	|	CLS1A	CLS1A	CLS5F	CLS5F	#####	|	#####	CLS2I	CLS2I	CLS5F	CLS3B	|	CLS3B	CLS5H	#####	CLS3B	CLS3B	|
THC0060	|	#####	#####	#####	#####	#####	|	CLS5C	CLS5C	#####	#####	#####	|	CLS5C	CLS5C	#####	#####	#####	|	#####	CLS5C	#####	#####	#####	|	#####	#####	#####	#####	#####	|	#####	#####	#####	#####	#####	|
THC0061	|	CLS1I	CLS1I	#####	#####	#####	|	#####	#####	#####	#####	#####	|	#####	#####	#####	#####	CLS2H	|	CLS2H	#####	#####	#####	CLS1I	|	#####	#####	#####	#####	CLS2H	|	#####	#####	#####	#####	#####	|
THC0062	|	#####	#####	#####	#####	#####	|	#####	CLS2H	CLS2H	#####	CLS1I	|	CLS1I	#####	#####	#####	#####	|	#####	#####	#####	#####	#####	|	#####	#####	CLS2H	#####	#####	|	CLS1I	#####	#####	#####	#####	|
THC0063	|	#####	#####	CLS2H	CLS2H	#####	|	#####	#####	#####	#####	#####	|	#####	#####	#####	#####	#####	|	#####	#####	#####	#####	#####	|	#####	#####	#####	#####	#####	|	#####	#####	#####	#####	#####	|
THC007	|	#####	#####	#####	CLS2I	CLS2I	|	#####	#####	#####	#####	#####	|	CLS1B	CLS1A	CLS1A	#####	CLS3A	|	CLS2A	CLS2A	CLS4G	CLS4G	CLS3H	|	CLS3H	CLS4G	CLS3A	CLS3A	CLS1B	|	CLS1B	CLS2A	CLS1A	CLS3H	CLS2I	|
THC008	|	#####	CLS4G	CLS3H	CLS3A	CLS3A	|	#####	#####	CLS4G	CLS2A	CLS2A	|	CLS2I	CLS2I	#####	CLS1A	CLS1A	|	CLS3A	CLS3H	CLS3H	#####	#####	|	CLS4G	CLS3H	CLS3H	CLS2I	CLS2I	|	CLS4G	CLS4G	#####	#####	CLS4G	|
THC009	|	CLS5G	CLS3A	CLS3A	CLS3B	CLS3B	|	CLS2I	CLS2I	CLS2A	#####	CLS4G	|	CLS4G	CLS5G	CLS3H	CLS3H	#####	|	CLS1B	CLS1B	CLS1A	CLS1A	#####	|	CLS5H	CLS4A	CLS4A	#####	CLS5H	|	CLS2A	#####	#####	#####	#####	|

LAB

LAB001	|	CLS5E	CLS5E	CLS4F	CLS4B	CLS3F	|	CLS2A	CLS2A	CLS2F	CLS1D	CLS1D	|	CLS2E	CLS1H	CLS1H	CLS1B	CLS1B	|	CLS1A	CLS1A	CLS1E	CLS5F	CLS1C	|	CLS3F	CLS2I	CLS2I	CLS3E	CLS3B	|	CLS2D	CLS1C	CLS2C	CLS2C	CLS2D	|
LAB0010	|	#####	#####	#####	#####	#####	|	#####	CLS3C	#####	#####	CLS4A	|	#####	#####	#####	#####	#####	|	#####	#####	#####	#####	#####	|	CLS5G	#####	#####	CLS4H	CLS3A	|	#####	#####	#####	#####	#####	|
LAB0011	|	CLS1E	CLS2C	CLS2B	CLS2I	CLS3D	|	CLS3B	CLS2E	CLS2G	CLS2C	CLS1F	|	CLS1B	CLS1A	CLS1D	CLS1C	CLS2H	|	CLS1H	CLS4C	CLS1F	CLS2F	CLS1B	|	CLS1C	CLS1A	CLS4E	CLS4F	CLS2D	|	CLS4A	CLS5C	CLS4H	CLS5A	CLS4A	|
LAB0012	|	CLS2B	CLS2B	CLS1G	CLS1G	CLS3B	|	CLS2I	CLS2I	CLS2A	CLS2E	CLS2E	|	CLS1D	CLS1D	CLS3D	CLS1H	CLS1H	|	CLS1B	CLS1B	CLS1A	CLS1A	CLS4H	|	CLS5F	CLS3C	CLS3F	CLS2D	CLS1F	|	CLS1F	CLS1E	CLS1E	CLS2F	CLS2C	|
LAB0013	|	#####	#####	CLS5F	CLS4F	CLS4B	|	CLS2B	CLS2B	#####	CLS1G	CLS1G	|	CLS2H	CLS2H	#####	CLS1F	CLS1F	|	CLS4B	CLS1E	CLS2F	#####	CLS3F	|	CLS5E	CLS4E	CLS3E	CLS4B	CLS3F	|	CLS2G	CLS2E	#####	CLS3B	CLS2G	|
LAB002	|	CLS5G	CLS3A	CLS3A	CLS3B	CLS3C	|	CLS3E	CLS3E	CLS3G	CLS3G	CLS4B	|	CLS4G	CLS4E	CLS3H	CLS3D	CLS2D	|	CLS1I	CLS1I	CLS1C	CLS1C	CLS5B	|	CLS5H	CLS3F	CLS4A	CLS2G	CLS2G	|	CLS2A	CLS5E	CLS2H	CLS2H	CLS2F	|
LAB003	|	CLS1A	CLS1C	CLS1E	CLS2C	CLS4G	|	CLS3H	CLS5B	CLS3E	#####	CLS2D	|	CLS2A	CLS3G	CLS3A	CLS1D	CLS3D	|	CLS2B	CLS2H	CLS3B	CLS4H	CLS1F	|	CLS2I	#####	CLS4F	CLS5G	#####	|	CLS5E	CLS5F	CLS5D	#####	#####	|
LAB004	|	CLS1G	CLS3C	CLS3G	CLS4D	CLS3E	|	CLS3G	CLS2H	CLS2I	CLS3F	CLS1I	|	CLS2D	CLS2E	CLS1E	CLS2A	CLS3A	|	CLS2A	CLS5F	CLS1H	CLS2G	CLS3D	|	CLS1D	CLS4D	CLS5G	CLS5A	CLS3E	|	CLS4C	CLS5D	CLS5B	CLS5B	CLS5C	|
LAB005	|	#####	#####	#####	#####	#####	|	#####	#####	#####	#####	CLS4C	|	#####	#####	#####	#####	#####	|	#####	#####	#####	#####	#####	|	#####	#####	#####	#####	#####	|	#####	#####	#####	#####	#####	|
LAB006	|	#####	CLS5C	CLS5C	#####	CLS4F	|	CLS4F	#####	CLS5D	CLS5F	CLS4G	|	CLS5A	CLS5G	CLS4E	CLS3H	CLS4H	|	CLS4C	CLS4B	CLS5A	CLS5B	CLS5D	|	#####	CLS4A	#####	CLS4C	CLS5H	|	CLS2C	#####	CLS4D	CLS4D	CLS5E	|
LAB007	|	CLS1B	CLS1H	CLS1I	CLS2E	CLS5A	|	#####	#####	CLS4A	#####	CLS3C	|	CLS2F	CLS4B	CLS3F	CLS4D	CLS4E	|	CLS2G	#####	#####	CLS5H	CLS1G	|	CLS4C	#####	CLS5C	#####	#####	|	#####	#####	#####	#####	#####	|
LAB008	|	CLS1I	CLS5A	CLS4C	CLS4E	CLS4H	|	CLS4A	CLS3A	CLS3D	CLS4B	CLS3F	|	CLS3B	CLS3A	CLS1G	CLS3C	CLS3G	|	CLS2F	CLS5G	CLS2B	CLS3H	CLS3H	|	CLS3C	CLS4G	CLS5H	CLS5C	CLS4G	|	CLS4H	CLS5G	CLS5E	CLS5D	CLS5H	|
LAB009	|	#####	#####	#####	CLS5F	CLS5H	|	CLS5E	CLS5E	#####	CLS3H	CLS3H	|	#####	#####	#####	CLS1I	CLS1I	|	CLS4F	CLS4F	CLS5F	#####	#####	|	#####	#####	#####	CLS5F	#####	|	CLS3B	CLS5H	#####	CLS4E	CLS3B	|
